Country,Wonder Woman,Amazing Spider Man,Amazing Spider Man 2,Ant Man,Ant Man and The Wasp,Aquaman,Black Panther,Captain America,Captain America 2,Captain Marvel,Dark Knight,Dark Knight Rises,Deadpool,Deadpool 2,Doctor Strange,Ghost Rider 2,Green Lantern,Incredible Hulk,Iron Man,Iron Man 2,Iron Man 3,Logan,Man of Steel,Punisher,Spider Man: Homecoming,The Wolverine,Thor,Thor 2,Thor 3,Venom,Wolverine: Origins
Argentina,3390252,3357295,,4126139,2250863,3441474,5720345,,,4318696,,28673092,4063355,4308463,3460732,,,,,,3852313,5148269,,,7033029,,,5475083,6169643,2830282,
Australia,24683719,8654635,,11681785,14348561,29500000,31932114,,,24755435,,44722076,,,15902123,,,,,,36164486,17295477,21880008,,20264403,,,21446060,26997468,15667184,
Brazil,33500000,13121674,24869494,12431089,13010094,36200000,36942424,,28317546,30563398,,27066360,20625096,17158600,22746664,14485312,,,,,11694313,29218096,,,31896084,,12092872,27686492,30485848,19031136,
Bulgaria,310618,,385465,183235,224148,989764,636460,,,474412,,482445,620731,518371,557862,,,,,,651777,295183,,,328580,379034,,879675,754537,859396,
China,96998909,,,105718824,128866413,13083153,113698530,,,153110000,,63131771,,42453208,110300000,,,,,,134905128,105962992,,,125361644,,,,119229970,277227937,
Czech Republic,605248,269795,,576130,1211659,2675829,2100955,,,2609174,,1662457,2002690,2346959,1294820,,,,,,1895271,1102637,,,1284993,,,1378030,3044746,2700089,
France,16300000,8589382,22738176,12674429,14715801,29600000,33114492,,,20150600,,35725110,26589864,20773062,15688092,,,,,,14900795,15456133,,,18790172,,,22289092,21262792,18420064,
Germany,8700000,2732820,15932503,5917308,9424892,24700000,23392484,,,17730992,,35463040,24583396,23761560,17402096,,,,,,24368143,9880658,,,11671525,,,20356156,19036144,16029204,
India,2568493,5747192,13603981,1649781,6400000,7800000,10458639,,,13100000,,9223966,2607045,10376840,5000000,,,,,,5113914,6565038,,,11403714,,,3598734,11818410,5927228,
Indonesia,8600000,6708221,,8386902,10000000,17500000,12500000,,,17600000,,7527926,7031122,8300000,7900000,,,,,,5301345,2900000,,,12335003,,,7402867,11746294,10704633,
Italy,3881665,6993317,,5282649,5815017,12213757,8953417,,,10918762,,18816812,8283009,8103779,8087311,,,,,,11229138,5589951,,,10157185,,,11204850,10369507,9849263,
Japan,11277405,8180989,30253480,9670913,11595269,12961220,14655352,,,10912028,,24115087,17817886,15833572,16390905,72822120,,,,,5468311,6209861,,,25390872,,,,10116575,19121916,
Lithuania,124272,16554,,59927,92657,318082,232561,,,210002,,53732,387801,437559,178335,,,,,,,131841,,,149194,,,125489,217175,344002,
Mexico,22500000,17556604,28460484,14676934,15000000,30400000,28322788,,,31757462,,31845456,18653168,20614351,13587076,,,,,,17067468,14353922,,,27070660,,,23857540,21249432,24390084,
Netherlands,3793664,24274,3546094,1850753,2655111,10577384,9975474,,,5517771,,8792252,5683286,4933060,3614533,,,,,,1704234,3277740,,,4042454,,,3157881,4590401,5638650,
New Zealand,3631130,1221853,,1836158,1883141,,5026086,,,,,4524402,3622822,3401105,2224534,243390,,,,,5226081,2252149,,,2692015,,,2825136,5148859,2244363,
Philippines,10600000,6233756,10211056,5275663,5700000,9200000,9300000,,,9400000,,5309012,6075224,4300000,6200000,,,,,,7413925,,,,7523563,,,7954070,7800000,4458893,
Poland,1366850,387461,,1300023,2431877,3944343,3601530,,,3480255,,3819281,3694972,4022952,2463489,642913,,,,,4252929,2277603,,,2692532,,,3147605,4046509,2891937,
Portugal,1025100,661794,1168538,779747,905079,2254291,1967802,,,1494687,,2173057,2350307,2473551,953409,,,,,,575105,1129530,,,1510539,,,1396205,1341455,1960914,
Russia,8500000,4977648,20871832,11654305,13024266,19600000,19265532,,,19751814,,17480637,26002884,21863782,22318676,,,,,,44220462,16863836,,,16341826,,,35732140,23648616,32319858,
Slovakia,330358,41068,,121879,347546,993797,689932,,,825668,,551286,752806,971762,389357,,,,,,502989,368810,,,340138,,,493999,848061,869652,
South Korea,15500000,21581340,,21126699,42026001,39100000,42859368,,,43318484,24613023,42019760,22520900,30694145,42360027,,,,,,19553284,16344265,,,51515808,,,21114584,34514898,30150764,
Spain,8603850,7717709,8892763,4146996,6869063,15800000,9716813,,7763694,11801656,,15394652,11476701,10998119,6975576,,,,,,4990454,7646855,,,11950872,,,8846122,10622231,10852976,
Taiwan,11000000,4682113,,10930219,9715007,15300000,12778780,,,10500000,,12319913,12471651,9063766,9300000,,,,,,8303368,7042850,,,9657745,,,10389487,10411887,9007044,
Turkey,1747244,566531,3630348,1757856,1095147,3266339,2593586,,,3154225,,4713140,4816280,3647784,3202816,,,,,,4509262,3359220,,,2556451,,,3717816,2981701,2554355,
United Kingdom,30018598,16411008,40447180,25208866,22941204,28600000,70631008,,,42344279,,90721728,54166400,42952151,28547412,,,,,,21215104,29643627,,,39582696,,,31788260,40960480,26338052,
Rest of World,86446111,348290110,281131009,52639028,64343517,163096553,138230716,193915271,418573691,149890200,443662237,264473397,143087899,141980321,68716801,9249618,102934320,130766946,266567421,308723058,663307110,73777090,355073992,2106557,89814074,283520966,256203122,157246121,92736017,89935814,194942603
United States,412563408,262030663,202853933,180202163,216648740,335061807,700059566,176654505,259746958,364923563,533720947,448139099,363070709,324591735,232641920,51774002,116601172,134806913,318604126,312433331,408992272,226277068,291045518,8050977,334201140,132556852,181030624,206362140,315058289,213511408,179883157
Total Box Office,821133378,757890267,708996336,518858449,623144660,1146894640,1348258224,370569776,714401889,1009813563,1001996207,1084439099,801025593,786680557,676404566,149217355,219535492,265573859,585171547,621156389,1215392272,615461394,667999518,10157534,880166350,416456852,449326618,644602516,846980024,853628605,374825760
